Structure,n,Bytes,BytesPerElement
NaiveRMQ,1024,0,0.0000000
NaiveRMQ,4096,0,0.0000000
NaiveRMQ,16384,0,0.0000000
NaiveRMQ,65536,0,0.0000000
NaiveRMQ,262144,0,0.0000000
NaiveRMQ,1048576,0,0.0000000
FullPreprocessingRMQ,1024,4194304,4096.0000000
FullPreprocessingRMQ,4096,67108864,16384.0000000
FullPreprocessingRMQ,16384,1073741824,65536.0000000
BlockDecompRMQ,1024,128,0.1250000
BlockDecompRMQ,4096,256,0.0625000
BlockDecompRMQ,16384,512,0.0312500
BlockDecompRMQ,65536,1024,0.0156250
BlockDecompRMQ,262144,2048,0.0078125
BlockDecompRMQ,1048576,4096,0.0039063
SparseTableRMQ,1024,45056,44.0000000
SparseTableRMQ,4096,212992,52.0000000
SparseTableRMQ,16384,983040,60.0000000
SparseTableRMQ,65536,4456448,68.0000000
SparseTableRMQ,262144,19922944,76.0000000
SparseTableRMQ,1048576,88080384,84.0000000
HybridARMQ,1024,3296,3.2187500
HybridARMQ,4096,13680,3.3398438
HybridARMQ,16384,56208,3.4306641
HybridARMQ,65536,229376,3.5000000
HybridARMQ,262144,873840,3.3334351
HybridARMQ,1048576,3565172,3.4000130
HybridBRMQ,1024,19664,19.2031250
HybridBRMQ,4096,79200,19.3359375
HybridBRMQ,16384,318336,19.4296875
HybridBRMQ,65536,1540096,23.5000000
HybridBRMQ,262144,6116680,23.3332825
HybridBRMQ,1048576,24536692,23.4000130
HybridCRMQ,1024,3296,3.2187500
HybridCRMQ,4096,13680,3.3398438
HybridCRMQ,16384,56208,3.4306641
HybridCRMQ,65536,229376,3.5000000
HybridCRMQ,262144,873840,3.3334351
HybridCRMQ,1048576,3565172,3.4000130
FischerHeunRMQ,1024,34816,34.0000000
FischerHeunRMQ,4096,125640,30.6738281
FischerHeunRMQ,16384,546168,33.3354492
FischerHeunRMQ,65536,2228224,34.0000000
FischerHeunRMQ,262144,9437184,36.0000000
FischerHeunRMQ,1048576,38587648,36.8000488
SegmentTreeRMQ,1024,16392,16.0078125
SegmentTreeRMQ,4096,65544,16.0019531
SegmentTreeRMQ,16384,262152,16.0004883
SegmentTreeRMQ,65536,1048584,16.0001221
SegmentTreeRMQ,262144,4194312,16.0000305
SegmentTreeRMQ,1048576,16777224,16.0000076
