Structure,n,Median(ms),Mean(ms),StdDev(ms),Min(ms),Max(ms)
NaiveRMQ,1024,0.0000000,0.0000000,0.0000000,0,0
NaiveRMQ,4096,0.0000000,0.0000000,0.0000000,0,0
NaiveRMQ,16384,0.0000000,0.0000000,0.0000000,0,0
NaiveRMQ,65536,0.0000000,0.0000000,0.0000000,0,0
NaiveRMQ,262144,0.0000000,0.0000000,0.0000000,0,0
NaiveRMQ,1048576,0.0000000,0.0000000,0.0000000,0,0
FullPreprocessingRMQ,1024,1.0000000,0.7666667,0.5040069,0,2
FullPreprocessingRMQ,4096,7.0000000,7.6000000,1.4527026,5,10
FullPreprocessingRMQ,16384,96.0000000,100.8000000,11.0153498,84,130
BlockDecompRMQ,1024,0.0000000,0.0000000,0.0000000,0,0
BlockDecompRMQ,4096,0.0000000,0.0333333,0.1825742,0,1
BlockDecompRMQ,16384,0.0000000,0.0000000,0.0000000,0,0
BlockDecompRMQ,65536,0.0000000,0.1333333,0.3457459,0,1
BlockDecompRMQ,262144,0.0000000,0.2000000,0.4068381,0,1
BlockDecompRMQ,1048576,1.0000000,0.7000000,0.5959634,0,2
SparseTableRMQ,1024,0.0000000,0.0666667,0.3651484,0,2
SparseTableRMQ,4096,0.0000000,0.0333333,0.1825742,0,1
SparseTableRMQ,16384,0.0000000,0.2666667,0.5208305,0,2
SparseTableRMQ,65536,1.0000000,1.4000000,0.6746647,0,3
SparseTableRMQ,262144,5.0000000,5.6666667,1.5610194,4,9
SparseTableRMQ,1048576,23.0000000,26.4333333,7.9813720,20,49
HybridARMQ,1024,0.0000000,0.0000000,0.0000000,0,0
HybridARMQ,4096,0.0000000,0.0000000,0.0000000,0,0
HybridARMQ,16384,0.0000000,0.0333333,0.1825742,0,1
HybridARMQ,65536,0.0000000,0.2000000,0.4068381,0,1
HybridARMQ,262144,0.0000000,0.4666667,0.5074163,0,1
HybridARMQ,1048576,2.0000000,2.5000000,0.6822882,1,4
HybridBRMQ,1024,0.0000000,0.1000000,0.3051286,0,1
HybridBRMQ,4096,0.0000000,0.2000000,0.4068381,0,1
HybridBRMQ,16384,0.0000000,0.2333333,0.4301831,0,1
HybridBRMQ,65536,1.0000000,1.5000000,2.7636807,0,16
HybridBRMQ,262144,4.0000000,4.4666667,1.3321834,3,7
HybridBRMQ,1048576,18.0000000,20.3666667,7.4300570,14,51
HybridCRMQ,1024,0.0000000,0.1333333,0.3457459,0,1
HybridCRMQ,4096,0.0000000,0.1666667,0.3790490,0,1
HybridCRMQ,16384,0.0000000,0.4333333,0.5683208,0,2
HybridCRMQ,65536,1.0000000,1.1000000,1.2415230,0,7
HybridCRMQ,262144,3.0000000,5.3666667,5.3141537,2,17
HybridCRMQ,1048576,9.0000000,12.5333333,8.0074678,7,39
FischerHeunRMQ,1024,0.0000000,0.2000000,0.4068381,0,1
FischerHeunRMQ,4096,0.0000000,0.4333333,0.7279320,0,2
FischerHeunRMQ,16384,1.0000000,0.9666667,0.5560534,0,2
FischerHeunRMQ,65536,2.0000000,2.5333333,0.9732042,1,5
FischerHeunRMQ,262144,10.0000000,13.0000000,5.3110165,8,27
FischerHeunRMQ,1048576,48.0000000,49.2666667,11.9248605,33,70
SegmentTreeRMQ,1024,0.0000000,0.0000000,0.0000000,0,0
SegmentTreeRMQ,4096,0.0000000,0.0000000,0.0000000,0,0
SegmentTreeRMQ,16384,0.0000000,0.1333333,0.3457459,0,1
SegmentTreeRMQ,65536,1.0000000,0.6333333,0.5560534,0,2
SegmentTreeRMQ,262144,2.0000000,2.2333333,0.6260623,1,4
SegmentTreeRMQ,1048576,9.0000000,10.0000000,1.5974117,8,14
