Structure,n,Throughput(ops/s),Median(ms),Mean(ms),StdDev(ms),Min(ms),Max(ms)
NaiveRMQ,1024,5105214.2843604,979.3990000,981.5372133,25.2658733,927.7540000,1070.4709000
NaiveRMQ,4096,1569427.3394625,3185.8772500,3189.5889300,36.5329663,3120.2708000,3267.5751000
NaiveRMQ,16384,412933.9055786,12108.7368000,12094.0335433,307.0357499,11679.7073000,12517.4511000
NaiveRMQ,65536,103215.9435434,9688.4257000,9685.1868000,66.5663775,9544.7142000,9835.4001000
NaiveRMQ,262144,25839.8401574,38699.9301000,38707.9613400,219.8797068,38376.1195000,39147.7126000
NaiveRMQ,1048576,6407.6843738,156062.6207000,156240.7596867,567.3642198,155306.0734000,157472.9888000
FullPreprocessingRMQ,1024,182654457.2093622,27.3770500,28.3067867,8.0182922,16.8827000,54.1124000
FullPreprocessingRMQ,4096,55653709.0700351,89.8413500,90.1869367,14.2015629,67.8690000,119.6760000
FullPreprocessingRMQ,16384,39707869.2514368,125.9201500,126.7380200,6.1214905,118.1437000,139.5787000
BlockDecompRMQ,1024,15539012.1662704,321.7709500,321.6909067,9.9399228,306.3539000,347.2660000
BlockDecompRMQ,4096,10402792.9289172,480.6403000,483.4921900,12.9722540,457.6889000,514.1008000
BlockDecompRMQ,16384,6483389.2088036,771.2016500,766.0664067,15.4630782,739.1820000,789.9713000
BlockDecompRMQ,65536,3837000.3075372,260.6237500,263.2261267,10.3587390,252.6914000,303.1402000
BlockDecompRMQ,262144,2112293.9478720,473.4212500,479.3479901,18.6440781,458.5920000,534.2789000
BlockDecompRMQ,1048576,1100399.2838686,908.7616000,911.1451833,15.5631105,885.4810000,940.6524000
SparseTableRMQ,1024,171849449.3476797,29.3079500,30.0429833,7.9417967,19.2595000,42.6487000
SparseTableRMQ,4096,149540121.7224302,33.4776500,31.8183400,7.5774235,21.1679000,46.0434000
SparseTableRMQ,16384,139067043.4854308,36.1155500,38.1093367,9.7938177,24.7790000,58.1755000
SparseTableRMQ,65536,101898991.3344501,9.8137000,11.0990533,3.3424596,7.0030000,19.9405000
SparseTableRMQ,262144,52282769.4726369,19.1318500,20.1824367,4.8141671,12.4923000,30.0924000
SparseTableRMQ,1048576,48675237.5061290,20.5448500,21.3306634,4.8260403,16.1633000,37.7816000
HybridARMQ,1024,34487125.0232209,144.9824500,145.8693800,5.4924656,135.7728000,155.6832000
HybridARMQ,4096,33058469.9433146,151.2474500,151.8357867,4.8304979,141.7819000,159.5343000
HybridARMQ,16384,31134607.3000805,160.5971500,160.9111800,6.3657890,151.3062000,173.5894000
HybridARMQ,65536,27241090.6137270,36.7092500,39.8557300,8.2320524,32.0931000,60.4049000
HybridARMQ,262144,23752290.2060467,42.1037500,46.4992467,9.7650772,37.2169000,71.9793000
HybridARMQ,1048576,17683769.4079170,56.5490500,62.2869067,13.5430443,48.9694000,95.9676000
HybridBRMQ,1024,43314032.5467441,115.4364500,119.9690400,17.3893078,97.9019000,159.8324000
HybridBRMQ,4096,40905466.8955531,122.2331000,126.8359533,13.5463797,107.7168000,162.5652000
HybridBRMQ,16384,34994858.6011710,142.8796000,144.9532400,14.9114853,124.1555000,173.7216000
HybridBRMQ,65536,29305097.5209623,34.1246000,36.2004067,7.5406666,29.6423000,60.0847000
HybridBRMQ,262144,18899597.7232970,52.9112500,62.4275300,16.6151699,47.5415000,101.1582000
HybridBRMQ,1048576,8213704.1731122,121.7479500,128.2188500,22.5277362,102.4444000,205.3005000
HybridCRMQ,1024,17572654.1075978,284.5445000,287.9017167,13.6174725,263.3702000,319.0368000
HybridCRMQ,4096,16087692.7824117,310.7986500,313.5879800,16.6604876,291.6221000,351.6093000
HybridCRMQ,16384,16093065.6384999,310.6928500,314.7617633,13.5252056,295.6672000,341.0334000
HybridCRMQ,65536,13369879.8912169,74.7953500,77.6996867,8.4625797,68.8928000,105.0263000
HybridCRMQ,262144,10261949.8303811,97.4487000,100.8907833,10.2520629,89.8350000,128.9508000
HybridCRMQ,1048576,5037971.9961772,198.4930500,198.8282934,10.3958058,179.0743000,228.7187000
FischerHeunRMQ,1024,63504514.3822876,78.7402500,78.1246867,13.0307327,58.0622000,110.5115000
FischerHeunRMQ,4096,63937300.8626872,78.2016500,82.6751967,17.5624153,63.8731000,127.3995000
FischerHeunRMQ,16384,53063530.8082774,94.2273500,95.9493433,12.7084521,74.7118000,121.7853000
FischerHeunRMQ,65536,36286939.7319436,27.5581500,28.5167900,4.5284500,22.5470000,42.9043000
FischerHeunRMQ,262144,16685515.0615038,59.9322500,64.4844233,12.3635234,50.6360000,97.3039000
FischerHeunRMQ,1048576,8761188.5329799,114.1422000,119.7674001,16.3349766,86.5454000,149.5910000
SegmentTreeRMQ,1024,9386300.5135992,532.6913000,534.5816900,8.6496015,525.3529000,569.6393000
SegmentTreeRMQ,4096,7523811.3746640,664.5568000,664.6486733,4.4232557,657.2824000,674.9908000
SegmentTreeRMQ,16384,6306654.4440362,792.8138000,799.1827867,16.0070765,785.6061000,841.4614000
SegmentTreeRMQ,65536,5053191.2349290,197.8948000,201.5751767,9.8535200,191.4499000,230.4997000
SegmentTreeRMQ,262144,4216576.5231766,237.1593000,232.9774067,18.3550492,209.0621000,270.1173000
SegmentTreeRMQ,1048576,2599891.1065354,384.6315005,386.3413933,15.3314700,362.3507000,421.0800000
